"1","John","Bhoj","1996-07-25",\N,"1127978094","chris.davis@outlook.com","3.18"
"2","Aarav","Davis","2005-09-25","FL","1994676635","michaelsmith@school.edu",\N
"3","Neha","Johnson","1997-07-22",\N,"2566942273","emily_patel@outlook.com","3.85"
"4","Chris","Johnson","2003-09-14","CA","8110054933","ananya_patel@yahoo.com",\N
"5","Neha","Davis","1997-06-17","CA","5567816720","khushismith@school.edu",\N
"6","Michael","Patel","2004-10-27",\N,"7867414708","",\N
"7","Emily","Bhoj","2001-05-12",\N,"3361388464","chris.sharma@yahoo.com","2.68"
"8","Chris","Johnson","2003-09-14","CA","8110054933","ananya_patel@yahoo.com",\N
"9","Michael","Sharma","2002-04-30",\N,"2926780541","johnsharma@gmail.com","2.10"
"10","John","Johnson","2000-06-12","FL","6520103410","raj.johnson@gmail.com","2.11"
"11","Ananya","Wilson","1995-08-21",\N,"7919824853","nehagupta@school.edu","2.41"
"12","Sophia","Johnson","1996-06-20",\N,"1095692638","sophia.kumar@outlook.com","3.41"
"13","Chris","Bhoj","2005-06-13","NY","6464693977","raj_wilson@school.edu","3.81"
"14","Michael","Kumar","1998-09-28",\N,"3373077218","","2.62"
"15","Sophia","Johnson","1996-06-20",\N,"1095692638","sophia.kumar@outlook.com","3.41"
"16","Sophia","Kumar","1997-07-02","TX","1118543408","",\N
"17","Michael","Gupta","2005-02-01","FL","2852408227","johnkumar@school.edu","2.65"
"18","Raj","Wilson","1999-09-19",\N,"6679017210","emily_wilson@yahoo.com","2.57"
"19","Neha","Brown","2005-09-04",\N,"5607762160","","3.38"
"20","Michael","Johnson","2005-09-28","TX","7228002201","chrissharma@yahoo.com",\N
"21","Emily","Kumar","1995-11-27","FL","7625464411","","2.78"
"22","Khushi","Gupta","1998-12-11","FL","6467215542","",\N
"23","Aarav","Sharma","2000-12-27","CA","2982979741","sophia_davis@outlook.com","2.50"
"24","Chris","Bhoj","2005-06-13","NY","6464693977","raj_wilson@school.edu","3.81"
"25","John","Gupta","1998-07-01",\N,"4361393222","",\N
"26","Sophia","Sharma","2003-03-25",\N,"8518238399","ananya.brown@outlook.com",\N
"27","Raj","Gupta","1995-02-11","FL","6006684937","michael_johnson@school.edu",\N
"28","Chris","Brown","1998-06-09",\N,"1822662216","chris_gupta@gmail.com",\N
"29","Aarav","Kumar","2000-12-27","CA","6516195409","aarav_bhoj@outlook.com",\N
"30","John","Gupta","1998-07-01",\N,"4361393222","",\N
"31","Raj","Smith","1996-12-12","FL","8331319481","","2.53"
